Component,Subtotal,Example Sourcing Link,
Standoffs,$3.76 ,https://www.mouser.com/ProductDetail/Keystone-Electronics/24424?qs=%2Fha2pyFadujGjYnOBX3ZIG5%252BNlfnctDXUaVF01IeI1E%3D,
Meanwell DC Power Supply,$30.66 ,https://www.mouser.com/ProductDetail/MEAN-WELL/NDR-120-24?qs=sGAEpiMZZMvkjJSSRowFE%252BMaPtHpNQit89EjeOStv9CBsXX2JvUmCQ%3D%3D,
DIN Rail,$7.74 ,https://www.mcmaster.com/8961K17/,
DIN washers,$13.94 ,https://www.mcmaster.com/98025A029/,
Sensor board (excluding pressure sensors),,,
2-layer PCB,$99.00 ,https://www.4pcb.com/pcb-prototype-2-4-layer-boards-specials.html,
12-bit ADC,$10.00 ,https://www.mouser.com/ProductDetail/Adafruit/1083?qs=GURawfaeGuCmI2li4B6pKg%3D%3D,
Voltage splitter U1,$2.00 ,https://www.digikey.com/product-detail/en/texas-instruments/TL7660CP/296-21857-5-ND/1629031,
Instrumentation amplifier U2,$4.00 ,https://www.digikey.com/product-detail/en/texas-instruments/INA126PA/INA126PA-ND/300992,
"R3, sensor",$0.00 ,,
40 pin Pi header J1,$3.00 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/1979/1528-1783-ND/6238003,
4x1 header J2,$5.00 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/4150/1528-2922-ND/10123801,
2x1 header J3,$5.00 ,,
Oxygen sensor cable (J4),$2.00 ,https://www.coolerguys.com/products/3-pin-fan-cable-extension-12-thru-72-inches?variant=17666421509,
330 Ohm resistor R1,$1.00 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT330R/CF14JT330RCT-ND/1830338,
"Capacitors C1,C2",$1.00 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ECA-1EM100B/P19522CT-ND/6109420,
Actuator board,,,
2-layer PCB,$99.00 ,https://www.4pcb.com/pcb-prototype-2-4-layer-boards-specials.html,
5V DC/DC Converter,$20.00 ,https://www.mouser.com/ProductDetail/CUI-Inc/PDQE15-Q24-S5-D?qs=%2Fha2pyFaduiL94u0Ef2I7K4U1Mc9B6IPlz0S4%252BeNn6w9pBF%2FNnZWZTmWI4mUuuL4,
Darlington array U1,$2.00 ,https://www.mouser.com/ProductDetail/Texas-Instruments/ULN2003AN?qs=FOlmdCx%252BAA1wYQ1G8c8hpQ%3D%3D,
40 pin Pi header J1,$3.00 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/1979/1528-1783-ND/6238003,
"Screw terminals J2, J3, J4",$4.00 ,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/282837-2/A113320-ND/2187973,
2x1 header J5,$5.00 ,,
Capacitor C1 ,$1.00 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEU-FR1C101B/P15330CT-ND/3072210,
"Capacitors C2,C3",$1.00 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEA-GA1H6R8/P14509-ND/2504598,
Speaker,$20.00 ,https://www.amazon.com/Z50-smartphone-tablet-laptop-Grey/dp/B00EZ9XLF8/ref=sr_1_1?dchild=1&hvadid=78408975043567&hvbmt=be&hvdev=c&hvqmt=e&keywords=logitech+z50&qid=1595253882&sr=8-1&tag=mh0b-20,
TOTAL,$347,
