Component,Subtotal,Example Sourcing Link,
Raspberry Pi,$53.00 ,https://www.mouser.com/ProductDetail/Raspberry-Pi/RPI4-MODBP-2GB-BULK?qs=sGAEpiMZZMspCjQQiuQ1fFuhMF5SnQS%252Ba2qMvWLE7K2IHh0t%252BecCsw%3D%3D,
USB-C Charger/cable,$9.88 ,https://www.mouser.com/ProductDetail/Seeed-Studio/106990291?qs=sGAEpiMZZMtyU1cDF2RqUIiI0Dr66jYXGV7bLfwtXvw%3D,
Micro SD Card,$8.29 ,https://www.amazon.com/dp/B073JWXGNT/ref=twister_B07B3MFBHY?_encoding=UTF8&th=1,
"7"" Display",$249.18 ,https://lilliputdirect.com/lilliput-779gl-capacitive-touchscreen-hdmi-monitor?search=779gl,
Screen Mount,$6.00 ,https://lilliputdirect.com/lilliput-monitor-accessories/mounting-brackets-stands-and-arms/lilliput-monitor-stand,
HDMI for Display,$19.59 ,https://www.mouser.com/ProductDetail/molex/68786-0001/?qs=ASaot9jrY6HVNv%2F8Wfc2rQ%3D%3D&countrycode=US&currencycode=USD,
Mini USB for Display,$5.49 ,https://www.mouser.com/ProductDetail/matrix-orbital/extmusb3ft/?qs=4ybA1OVEHcjRr1VgZWmnlw%3D%3D&countrycode=US&currencycode=USD,
Cable grommet,$10.08 ,https://www.mcmaster.com/9307K61/,
Cable P-clip,$7.00 ,https://www.mcmaster.com/3225T63/,
Keyboard,$49.99 ,https://m.cdw.com/product/adesso-easy-touch-mini-trackball-keyboard/1839486,
,$8.15 ,https://www.grainger.com/product/1FD82?gclid=Cj0KCQjw1qL6BRCmARIsADV9JtZk59QIAYAwMJvQFD1dzPK-rSkWwVBCeo8SBGndpEHDpp2NXDWsr9kaAo-MEALw_wcB&gucid=N:N:FPL:Free:GGL:CSM-1946:tew63h3:20501231&ef_id=Cj0KCQjw1qL6BRCmARIsADV9JtZk59QIAYAwMJvQFD1dzPK-rSkWwVBCeo8SBGndpEHDpp2NXDWsr9kaAo-MEALw_wcB:G:s&s_kwcid=AL!2966!3!264922886802!!!g!439460816581!&gucid=N:N:PS:Paid:GGL:CSM-2293:FAGP9P:20500731,
Power strip,$3.63 ,https://www.parts-express.com/parts-express-3-outlet-strip-with-3-ft-cord-ul-black--125-406?gclid=EAIaIQobChMImKulw4PM6wIVRymzAB1bcwgfEAQYAyABEgLhBPD_BwE,
TOTAL,$419 ,
