Component,Description,McMaster Part # (if applicable),Category,Unit Qty,Pkg. Qty,Bulk Qty,Bulk Parts Cost,Unit Cost,Subtotal (Bulk Parts Cost) ,Subtotal (Unit Parts Cost),Sourcing Link,
,,,,,,,,,,,,
I/O ,,,,,,,,,,,,
Raspberry Pi,Raspberry Pi- Model B-1 (1GB RAM),,Compute,1,1,1,$53.00 ,$53.00 ,$53.00 ,$53.00 ,https://www.mouser.com/ProductDetail/Raspberry-Pi/RPI4-MODBP-2GB-BULK?qs=sGAEpiMZZMspCjQQiuQ1fFuhMF5SnQS%252Ba2qMvWLE7K2IHh0t%252BecCsw%3D%3D,
USB-C Charger/cable,To power the RPi,,Compute,1,1,1,$9.88 ,$9.88 ,$9.88 ,$9.88 ,https://www.mouser.com/ProductDetail/Seeed-Studio/106990291?qs=sGAEpiMZZMtyU1cDF2RqUIiI0Dr66jYXGV7bLfwtXvw%3D,
Micro SD Card,SanDisk Ultra 32GB MicroSDHC UHS-I Card with Adapter,,Compute,1,1,1,$8.29 ,$8.29 ,$8.29 ,$8.29 ,https://www.amazon.com/dp/B073JWXGNT/ref=twister_B07B3MFBHY?_encoding=UTF8&th=1,
"7"" Display","Lilliput 779GL-70NP/C/T - 7"" HDMI Capacitive Touchscreen monitor",,Compute,1,1,1,$249.18 ,$249.18 ,$249.18 ,$249.18 ,https://lilliputdirect.com/lilliput-779gl-capacitive-touchscreen-hdmi-monitor?search=779gl,
Screen Mount,Lilliput Monitor Stand,,Compute,1,1,1,$6.00 ,$6.00 ,$6.00 ,$6.00 ,https://lilliputdirect.com/lilliput-monitor-accessories/mounting-brackets-stands-and-arms/lilliput-monitor-stand,
HDMI for Display,Display cable: HDMI Cables HDMI Cbl Assbly 1M Micro to STD,,Compute,1,1,1,$19.59 ,$19.59 ,$19.59 ,$19.59 ,https://www.mouser.com/ProductDetail/molex/68786-0001/?qs=ASaot9jrY6HVNv%2F8Wfc2rQ%3D%3D&countrycode=US&currencycode=USD,
Mini USB for Display,Display cable: USB Cables / IEEE 1394 Cables 3 ft Ext A-B Mini USB Cable,,Compute,1,1,1,$5.49 ,$5.49 ,$5.49 ,$5.49 ,https://www.mouser.com/ProductDetail/matrix-orbital/extmusb3ft/?qs=4ybA1OVEHcjRr1VgZWmnlw%3D%3D&countrycode=US&currencycode=USD,
Cable grommet,"USER_INTERFACE_CABLE_GROMMET: Buna-N Rubber Grommets, for 1-3/8"" Hole Diameter and 1/16"" Material Thickness, 1"" ID, pack of 10",9307K61,Routing,1,10,1,$10.08 ,$1.01 ,$10.08 ,$1.01 ,https://www.mcmaster.com/9307K61/,
Cable P-clip,"USER_INTERFACE_CABLE_P-CLIP_0.375_ID_SS: Snug-Fit Vibration-Damping Loop Clamp, 304 Stainless Steel with Silicone Rubber Cushion, 3/8"" ID, pack of 10, 17/64 mounting holes",3225T63,Routing,2,10,1,$7.00 ,$0.70 ,$7.00 ,$1.40 ,https://www.mcmaster.com/3225T63/,
Keyboard,Adesso: Mini keyboard with trackball,,Compute,1,1,1,$49.99 ,$49.99 ,$49.99 ,$49.99 ,https://m.cdw.com/product/adesso-easy-touch-mini-trackball-keyboard/1839486,
,AC Power Cable ,,Compute,1,1,1,$8.15 ,$8.15 ,$8.15 ,$8.15 ,https://www.grainger.com/product/1FD82?gclid=Cj0KCQjw1qL6BRCmARIsADV9JtZk59QIAYAwMJvQFD1dzPK-rSkWwVBCeo8SBGndpEHDpp2NXDWsr9kaAo-MEALw_wcB&gucid=N:N:FPL:Free:GGL:CSM-1946:tew63h3:20501231&ef_id=Cj0KCQjw1qL6BRCmARIsADV9JtZk59QIAYAwMJvQFD1dzPK-rSkWwVBCeo8SBGndpEHDpp2NXDWsr9kaAo-MEALw_wcB:G:s&s_kwcid=AL!2966!3!264922886802!!!g!439460816581!&gucid=N:N:PS:Paid:GGL:CSM-2293:FAGP9P:20500731,
,,,,,,,,,,,Compute Cost,$419 
,,,,,,,,,,,,
Airway Components,,,,,,,,,,,,
,"CUSTOM_ID_RUBBER_GROMMET_FOR_0.5_HOLE_0.0625_MATL: Cut-to-Size Grommets, SBR Rubber, for 1/2"" Hole and 1/16"" Thickness, 1/64-3/8"" ID, Pack of 10",2633N11,Routing,1,10,1,$10.00 ,$1.00 ,$10.00 ,$1.00 ,www.mcmaster.com/2633N11/,
"Oxygen DISS to 3/8"" NPT Adapter",(Not specified in assembly),,Tubing/Adapters,,,,,,,,,
Inlet manifold ,"1023N150_MANIFOLD_0.375_NPT_IN_0.25NPT_OUT : Straight-Flow Rectangular Manifold, 2 Outlets, 3/8 NPT Inlet x 1/4 NPT Outlet",1023N15,Tubing/Adapters,1,1,1,$24.56 ,$24.56 ,$24.56 ,$24.56 ,https://www.mcmaster.com/1023N15/,
"1/4"" NPT Connector (male/male)","PIPE_STUB_0.25_NPT_SS_W_SEALANT: Standard-Wall 304/304L Stainless Steel Pipe Nipple with Sealant, Threaded on Both Ends, 1/4 NPT, 1-1/2"" Long",1455N133,Tubing/Adapters,1,1,1,$3.89 ,$3.89 ,$3.89 ,$3.89 ,https://www.mcmaster.com/1455N133/,
Teflon tape ,"PTFE thread sealant tape (1/2"")",6802K12,Tubing/Adapters,1,1,1,$2.62 ,$2.62 ,$2.62 ,$2.62 ,https://www.mcmaster.com/6802K12/,
"Manifold plug 1/4"" NPT","MANIFOLD_PLUG_0.25_NPT_SS: High-Pressure 347 Stainless Steel Pipe Fitting, Plug with Hex Drive, 1/4 NPT Male",1725K13,Tubing/Adapters,1,1,1,$4.50 ,$4.50 ,$4.50 ,$4.50 ,https://www.mcmaster.com/1725K13/,
Hex nuts,"LN_10-32_STAINLESS_18-8: 18-8 Stainless Steel Hex Nut, 10-32 Thread Size, pack of 100",91841A195,Fixing and framing,,100,1,$3.77 ,$0.04 ,$3.77 ,$0.00 ,https://www.mcmaster.com/91841A195/,
Manifold washers,"W_10_NARROW_0.406OD_316_SS: 18-8 Stainless Steel Washer for Soft Material, Number 10 Screw Size, Narrow ASME Designation, pack of 25",92217A440,Fixing and framing,,25,1,$10.16 ,$0.41 ,$10.16 ,$0.00 ,https://www.mcmaster.com/92217A440/,
Fixed pressure regulator,"Fixed-Pressure Compressed Air Regulator (with two plugs) , 50 psi",1777K41,Flow control,1,1,1,$47.94 ,$47.94 ,$47.94 ,$47.94 ,https://www.mcmaster.com/1777K2,
"Push-to-connect: 1/4"" NPT","PUSH_CONNECT_8MM_0.25_NPTM: 1/4"" NPT to push-to-connect 8mm tubing",5225K715,Tubing/Adapters,,1,2,$5.48 ,$5.48 ,$10.96 ,$0.00 ,https://www.mcmaster.com/5225K715/,
Pneumatic Tubing ,"Polyurethane tubing: Firm Polyurethane Rubber Tubing for Air and Water, 5 mm ID, 8 mm OD",50315K71,Tubing/Adapters,3,1,3,$0.71 ,$0.71 ,$2.13 ,$2.13 ,https://www.mcmaster.com/50315K71,
"Push-to-connect: 1/8"" BSPT","PUSH_CONNECT_FITTING_8MM_TO_0.125_BPST: Push-to-Connect Tube Fitting for Air, Straight Adapter, 8 mm Tube OD x 1/8 BSPT Male",5225K305,Tubing/Adapters,2,1,2,$5.38 ,$5.38 ,$10.76 ,$10.76 ,https://www.mcmaster.com/5225K305/,
Insp proportional valve,"SMC PVQ31-5G-23-01N-H valve, proportional, PVQ PROPORTIONAL VALVE",,Flow control,1,1,1,$107.10 ,$107.10 ,$107.10 ,$107.10 ,https://www.ocpneumatics.com/smc-pvq31-5g-23-01n-h-valve-proportional-pvq-proportional-valve/,
"Push-to-connect: Inline T-adapter to 1/4"" NPT","PUSH_CONNECT_T_8MM_0.25_NPT: Push-to-Connect Tube Fitting for Air, Inline Tee Adapter, for 8 mm Tube OD x 1/4 NPT Male
",5225K806,Tubing/Adapters,1,1,1,$7.58 ,$7.58 ,$7.58 ,$7.58 ,https://www.mcmaster.com/5225K806/,
"1/4"" NPT Connector (female/female)","NPTF_0.25_X_0.25_NPTF_COUPLER: CPVC Pipe Fitting for Hot Water, Straight Connector, 1/4 NPT Thread Female",4589K58,Tubing/Adapters,1,1,1,$9.84 ,$9.84 ,$9.84 ,$9.84 ,https://www.mcmaster.com/4589K58/,
Pressure release valve,"Compact Nylon Pressure-Relief Valve for Air, 1 psi, 1/4 NPT Male",4277T52,Tubing/Adapters,1,1,1,$19.89 ,$19.89 ,$19.89 ,$19.89 ,https://www.mcmaster.com/4277T52,
Oxygen sensor,"O2 Sensor, SS-12A (or equivalents, e.g. Analytical Industries PSR-11-917-M) ",,Sensors,1,1,1,$59.00 ,$59.00 ,$59.00 ,$59.00 ,https://www.sensoronics.com/products/ss-12a-replaces-teledyne-r22-msa-472062,
Emergency breathing (check) valve,Teleflex Medical One Way Valve,,Flow control,1,1,1,$1.05 ,$1.05 ,$1.05 ,$1.05 ,https://serfinitymedical.com/products/teleflex-medical-one-way-valve-teleflex-medical-1665,
DAR filters,DAR Electrostatic filters - Large (10x) (NEED A PRESCRIPTION TO ORDER),Yes,Tubing/Adapters,2,1,2,$1.72 ,$1.72 ,$3.44 ,$3.44 ,https://www.bettymills.com/dar-electrostatic-filter-large-350u5865?utm_source=cpc-strat&utm_medium=cpc&utm_campaign=parts&utm_keyword=MON58653900&utm_content=Medical&gclid=Cj0KCQjwsYb0BRCOARIsAHbLPhFDvasl2T-pp983Gj755_cJPpx-yW1j-qtVVfjvdeKrHvaog9WXQzAaAtrJEALw_wcB,
Adult Respiratory Circuit w Humidifier Limb,Standard resp. circuit,Yes,Tubing/Adapters,1,1,1,$13.00 ,$13.00 ,$13.00 ,$13.00 ,Circuit: https://orsupply.com/product/1505,
,Adapter / filter to connect gas sampling lines to proximal side - TOM,,Tubing/Adapters,,,,,#DIV/0!,$0.00 ,,,
Gas sampling line,Gas Sampling Line McKesson 16-GSL Each/1 (x3),,Tubing/Adapters,3,1,3,$1.67 ,$1.67 ,$5.01 ,$5.01 ,https://heymedsupply.com/gas-sampling-line-mckesson-16-gsl-each-1/?gclid=CjwKCAjw95D0BRBFEiwAcO1KDNKq_RaPem1c2NjJTQ1T2bLXusnNQXshtMCSO_h0_i7tSfO_Mrw1NRoCkB8QAvD_BwE,
Luer lock connector,Sensit Luer Lock Connector from Grainger,,Tubing/Adapters,2,1,2,$10.25 ,$10.25 ,$20.50 ,$20.50 ,https://www.grainger.com/product/36T564?gclid=EAIaIQobChMI59a98omX6wIVgwiICR3BlQrHEAQYCiABEgJ5WPD_BwE&cm_mmc=PPC:+Google+PLA&ef_id=EAIaIQobChMI59a98omX6wIVgwiICR3BlQrHEAQYCiABEgJ5WPD_BwE:G:s&s_kwcid=AL!2966!3!281698275999!!!g!470577457359!,
Luer lock filter,Luer lock filter 0.2um from Promepla,,,,,,,,,,https://catalog.promepla.com/promepla-component/ecb15992 / https://catalog.promepla.com/uploads/medias/plan-ecb15992.pdf,
Pressure sensor (for Paw),1 PSI-D-4V-MINI,,Sensors,1,1,1,$32.00 ,$32.00 ,$32.00 ,$32.00 ,https://www.mouser.com/ProductDetail/Amphenol-All-Sensors/1-PSI-D1-4V-MINI?qs=BhOZL0NmoSxcjJYCCg1Awg%3D%3D,
Tubing connectors,Flexible Connector (Silicone Rubber) 22mm I.D. X 22mm I.D. (x6),,Tubing/Adapters,2,1,2,$7.00 ,$7.00 ,$14.00 ,$14.00 ,https://www.rcmedical.com/viewProduct.cfm?productID=591,
Flow sensor,Disposable GE D-Lite flow sensor,,Tubing/Adapters,1,1,1,$4.76 ,$4.76 ,$4.76 ,$4.76 ,https://jakenmedical.com/supplies-accessories/disposable-d-lite-sensor-50-box-896952/,
Luer plug,"Plastic Quick-Turn Tube Coupling, Nylon Plastic Caps for Plugs",51525K311,Tubing/Adapters,1,10,1,$2.60 ,$0.26 ,$2.60 ,$0.26 ,https://www.mcmaster.com/51525K311,
